name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Nelson, NSN, NZ",1/03/2023,21.4,16.4,19.2,21.4,16.4,19.2,15.8,80.8,0,0,0,,0,0,17.6,25.9,35.4,1012.1,39.2,17.1,226.3,19.5,9,10,2023-03-01T07:07:01,2023-03-01T20:10:58,0.28,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,93546099999
"Nelson, NSN, NZ",2/03/2023,23.7,14.7,19.6,23.7,14.7,19.6,15.1,75.8,0,0,0,,0,0,24.8,20.5,31.8,1010.3,37.9,19.6,271.8,23.6,9,10,2023-03-02T07:08:11,2023-03-02T20:09:24,0.32,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,93546099999
"Nelson, NSN, NZ",3/03/2023,21.9,15.4,19,21.9,15.4,19,15,78.9,0,0,0,,0,0,17.6,14.8,4.7,1009.1,39,19.9,274.4,23.7,9,10,2023-03-03T07:09:22,2023-03-03T20:07:50,0.35,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"93546099999,remote"
"Nelson, NSN, NZ",4/03/2023,23.2,15.4,19.9,23.2,15.4,19.9,15.7,77.3,0.4,100,8.33,rain,0,0,24.8,29.5,32.4,1007.9,36.7,18.1,262.5,22.7,9,10,2023-03-04T07:10:32,2023-03-04T20:06:14,0.38,"Rain, Partially cloudy",Clearing in the afternoon with rain.,rain,"93546099999,remote"
"Nelson, NSN, NZ",5/03/2023,18.7,12.9,15.9,18.7,12.9,15.9,12.9,82.8,18,100,16.67,rain,0,0,24.1,22.3,225.8,1011.9,93.8,16.3,62.2,5.4,3,10,2023-03-05T07:11:42,2023-03-05T20:04:38,0.42,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,93546099999
"Nelson, NSN, NZ",6/03/2023,20.1,9.4,15.2,20.1,8,15.1,10.1,73.4,1,100,4.17,rain,0,0,19.4,24.1,328.5,1016.6,18.8,19.6,273.3,23.6,9,10,2023-03-06T07:12:51,2023-03-06T20:03:02,0.45,Rain,Clear conditions throughout the day with early morning rain.,rain,93546099999
"Nelson, NSN, NZ",7/03/2023,20.9,11.2,16.6,20.9,11.2,16.6,12.1,75.6,0,0,0,,0,0,11.5,16.6,8.7,1015.4,44.6,18.8,247.7,21.4,8,10,2023-03-07T07:14:00,2023-03-07T20:01:25,0.48,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,93546099999
"Nelson, NSN, NZ",8/03/2023,22.9,12.7,18.4,22.9,12.7,18.4,14.1,76.3,0,0,0,,0,0,29.5,16.6,331.7,1011.4,62.3,19.2,208.5,18.1,8,10,2023-03-08T07:15:09,2023-03-08T19:59:47,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,93546099999
"Nelson, NSN, NZ",9/03/2023,23.1,15.4,19.4,23.1,15.4,19.4,16.8,85.2,0,0,0,rain,0,0,33.8,46.4,359.2,1006.4,52.9,15.4,218.3,19,8,10,2023-03-09T07:16:18,2023-03-09T19:58:09,0.55,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,93546099999
"Nelson, NSN, NZ",10/03/2023,25.2,17.6,20.4,25.2,17.6,20.4,14.5,71.2,0,0,0,,0,0,34.6,31.7,242.7,1003.1,27,19.2,260.3,22.4,8,10,2023-03-10T07:17:26,2023-03-10T19:56:31,0.59,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,93546099999
"Nelson, NSN, NZ",11/03/2023,24.2,14.4,18.9,24.2,14.4,18.9,11.1,61.2,0,0,0,,0,0,25.2,27.7,232.9,1010.4,47.4,19.2,261.8,22.7,8,10,2023-03-11T07:18:34,2023-03-11T19:54:52,0.62,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,93546099999
"Nelson, NSN, NZ",12/03/2023,23.2,14.9,19.3,23.2,14.9,19.3,11.8,62.7,0,0,0,,0,0,29.2,25.9,242.7,1010.1,53.9,19.6,249.7,21.5,8,10,2023-03-12T07:19:42,2023-03-12T19:53:13,0.66,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,93546099999
"Nelson, NSN, NZ",13/03/2023,23.2,12.4,18.3,23.2,12.4,18.3,12.1,69.3,0,0,0,rain,0,0,36.7,35.3,237.5,1005.5,23.9,16.3,213.3,18.4,8,10,2023-03-13T07:20:49,2023-03-13T19:51:33,0.69,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,93546099999
"Nelson, NSN, NZ",14/03/2023,19.7,8.1,14.4,19.7,7.2,14.4,8.7,69,0,0,0,,0,0,17.6,25.9,18.9,1019.2,23.1,17.5,255.5,22.1,8,10,2023-03-14T07:21:56,2023-03-14T19:49:53,0.73,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,93546099999
"Nelson, NSN, NZ",15/03/2023,20.4,11.2,15.7,20.4,11.2,15.7,12,79.6,0,0,0,,0,0,15.1,18.4,1.6,1023.4,19,16.7,254.4,22.1,8,10,2023-03-15T07:23:03,2023-03-15T19:48:13,0.75,Clear,Clear conditions throughout the day.,clear-day,93546099999
"Nelson, NSN, NZ",16/03/2023,20.1,13.4,16.9,20.1,13.4,16.9,14,83.5,0.2,100,4.17,rain,0,0,48.6,40.7,22.5,1018.7,79.3,15.3,176.2,15.1,6,10,2023-03-16T07:24:10,2023-03-16T19:46:33,0.8,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,93546099999
"Nelson, NSN, NZ",17/03/2023,24.4,17.4,20.4,24.4,17.4,20.4,18.1,87.1,12,100,16.67,rain,0,0,76,57.6,7.8,1006.6,91.1,5.8,167.7,14.7,6,10,2023-03-17T07:25:17,2023-03-17T19:44:53,0.83,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,93546099999
"Nelson, NSN, NZ",18/03/2023,20.9,13.7,17.4,20.9,13.7,17.4,13.9,80.3,5.2,100,8.33,rain,0,0,19.8,22.3,24.9,1016.6,39.9,18.3,233,20.1,8,10,2023-03-18T07:26:23,2023-03-18T19:43:12,0.87,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,93546099999
"Nelson, NSN, NZ",19/03/2023,21.7,11.9,17.5,21.7,11.9,17.5,11.2,67.6,0,0,0,,0,0,13,22.3,337.2,1021.5,32.2,18.3,244.1,21.1,8,10,2023-03-19T07:27:29,2023-03-19T19:41:31,0.9,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,93546099999
